"network","limu_RA","cca_RA","coral_RA","FC_LimuVCoral","FC_LimuVCCA","FC_CoralVCCA","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","f_stat","sum_of_sq","p_val","adj_p_val"
82,0.00010704985521725,2.52054458989784e-05,4.09677703825891e-05,1.38572156123556,2.08647546271015,0.700753901474585,0.000771095233657992,0.81012573871105,0.00481788623295679,0.0034963280253727,0.0040467909992988,0.0140781244579761,6.04817120176634,0.000369357278736908,0.0033145752975332,0.00720537004357233
282,8.05790208745836e-05,3.05427123060259e-05,0,Inf,1.39957609074218,-Inf,-0.00225747423317787,0.138815550596545,0.000261290026812099,0.980091790929839,0.00251876425998997,0.148048566876196,2.56162176799437,0.000139563416220049,0.0822360760854998,0.101641618792144
703,0.000285904686259974,8.410471882558e-06,0,Inf,5.08720370974092,-Inf,-0.00132490775434166,0.722444284688143,0.005988558068421,0.00967331418815209,0.00731346582276266,0.000878764724885461,7.36905128371557,0.000859113873960389,0.00103422925339865,0.00291217184509621
953,5.29766398963746e-05,0,0,Inf,Inf,0,1.42030484595601e-17,1,0.00266286517472313,0.00790265399834555,0.00266286517472311,0.00632217302321503,5.92490119884715,0.000130526731843457,0.00370031708740483,0.00794136819044761
394,0.000483304306288913,4.99520328322398e-05,2.86690730185918e-05,4.07536468681252,3.27431655358835,-0.801048133224179,-0.00210772954254392,0.640504605604103,0.00757384365809288,0.0173412154882043,0.0096815732006368,0.00121189399937582,6.87969469089284,0.00147888198279727,0.00158722094931935,0.00401631246973039
133,0.000176521974400542,4.06280093202514e-05,9.86599466928624e-05,0.839311376139231,2.11930120643084,1.27998983029161,0.00527384520230482,0.000374647521828697,0.00831676770821483,1.30892633842805e-06,0.00304292250591002,0.111235203243408,16.060875401081,0.00110657555588719,8.93889829466045e-07,9.04761462527119e-06
462,0.000269325964674527,3.78949029899315e-07,0,Inf,9.47313379243655,-Inf,-0.000101202339601281,0.997982221540626,0.00629913309166185,0.00457433445635858,0.00640033543126313,0.00301608080356874,6.75688255604143,0.000743135387560493,0.00176837168990828,0.00432846534555982
1187,0.00218166927560377,0.00292169738702675,0.00390803470199654,-0.841010861306918,-0.421374342956535,0.419636518350383,0.00932668109660176,0.264736730173985,-0.00670070221466613,0.598465666781165,-0.0160273833112679,0.0507959617153431,3.02275868806338,0.00421340267490244,0.053135434434015,0.0695776929913938
786,8.1251788834812e-05,0,0,Inf,Inf,0,1.12757025938492e-17,1,0.00349470525162562,0.00411056808617716,0.00349470525162561,0.00319710879479007,6.78226996603077,0.000224813410220605,0.0017292696032838,0.00426060175282753
341,0.000622570230502182,0.000381594305628595,0.000107638664525882,2.53204019630682,0.706196950202825,-1.825843246104,-0.00754191862464386,0.0293484988019377,0.00372801770578865,0.515179118606059,0.0112699363304325,0.00266214064713233,6.66386307697239,0.00222098482928635,0.00191951384469783,0.00463779312799572
670,0.000380287805261104,0.000508761628122281,0.000369380337702963,0.0419846036216143,-0.419898186995746,-0.461882790617361,-0.00231965635677176,0.809579211177332,-0.00204741306091476,0.885203351805559,0.000272243295856999,0.997736888110538,0.21428734717215,0.000118047462929448,0.807486078500338,0.820633748706585
290,0.000200107344866802,1.26078511865113e-05,2.98535405171703e-05,2.74480017687541,3.98837980516379,1.24357962828838,0.00168843009497877,0.497334350013059,0.00746872896894714,0.000115340376682815,0.00578029887396837,0.00266185525588181,9.70542081391897,0.000850908984533402,0.000140543910527773,0.000630343646618573
121,0.000148036148682147,4.54026778813677e-07,0,Inf,8.34895640147745,-Inf,-0.000110774828982241,0.99557002635729,0.00477684162925636,0.00346942304319908,0.0048876164582386,0.00207099537023081,7.18479425855798,0.000430694660154994,0.0012147084997983,0.00327272182139902
58,0.000100060808813106,2.83971256989236e-07,0,Inf,8.4609163933957,-Inf,-0.00012358400912046,0.991810163467028,0.00394877798997166,0.00317205995206338,0.00407236199909212,0.00171343204337637,7.3725829266399,0.000296961050915826,0.0010310508838914,0.00291217184509621
25,6.0916814366331e-05,5.59973038440327e-06,2.35285461882529e-05,1.37242831808504,3.44341122719307,2.07098290910803,0.000745232055019072,0.765123993026568,0.00242128505471787,0.129867207172587,0.0016760529996988,0.353368544292922,1.92765484707481,8.64143773169327e-05,0.150856748773184,0.174101240109576
865,8.55842532051242e-05,0,0,Inf,Inf,0,1.7130394325271e-17,1,0.00343706086036802,0.00670495214568367,0.00343706086036801,0.00532592720833702,6.13919560139669,0.000217458081849792,0.00305626453732588,0.00671302679899439
474,0.000646367109135705,0.000382496974175137,0.000696693615840074,-0.108170555837456,0.756905452262512,0.865076008099968,0.00575933807890123,0.378545408486963,0.00629828003337843,0.422722144710021,0.000538941954477207,0.99332922991107,1.15672746537004,0.00084528545318995,0.318685636205314,0.34493575363841
1069,0.000338336012150758,3.25868097271537e-05,2.57044511407566e-05,3.71836663223311,3.37609672115145,-0.342269911081662,0.000337046841031745,0.979251671047384,0.0110730010371723,8.27640070699687e-07,0.0107359541961405,9.76353842441213e-07,18.612911184661,0.00218677877709538,1.34340788972712e-07,1.64952870394363e-06
11,0.00459246530298604,0.00587785609248678,0.005089889474917,-0.148365507525548,-0.356021216406231,-0.207655708880684,-0.00237015730561432,0.932649459340469,-0.00757198514156469,0.592534809469126,-0.00520182783595037,0.770994607689384,0.483361598350964,0.000843871357871105,0.61814009069138,0.643931749551939
990,0.000125916596854305,4.40977538924999e-05,5.06769500984786e-05,1.31306684860529,1.5136913753167,0.200624526711413,0.000661681646790818,0.88854266496263,0.00495017605273322,0.00997873106104408,0.0042884944059424,0.0254073113850647,4.95890398767841,0.000397849104944763,0.0088429476410598,0.0151564480163702
748,0.00146942519656448,9.42618539832071e-05,1.07513162092429e-06,10.4165229130294,3.96243405075213,-6.45408886227726,-0.00632195047078293,0.239845738888569,0.0110794833788415,0.0420070376920098,0.0174014338496244,0.000438053673857297,7.76816757243651,0.00462473382814444,0.00073125799585168,0.00223556015874656
689,0.000188907423493188,0.000109660388058111,6.00203114979295e-05,1.65415668493772,0.784636912353857,-0.86951977258386,-0.00105855340410703,0.847244928847584,0.00355780410676292,0.255863195055808,0.00461635751086995,0.0930266329341981,2.28727215911773,0.000334590602013391,0.10683190155616,0.1273119635795
225,0.000486884751069709,0.000221491925073675,0.000467269047705541,0.0593268419595393,1.13632621355808,1.07699937159855,0.00351750046415094,0.589235236865964,0.00169252777697134,0.912854415191143,-0.0018249726871796,0.894772766701307,0.48436806663149,0.000243964319836217,0.617524222216618,0.643931749551939
762,3.13223376157015e-05,0,1.79782296801416e-07,7.44479711073972,Inf,Inf,6.54258484863344e-05,0.992761357666118,0.00223820431874419,0.00296409549831134,0.00217277847025786,0.00315126671944799,7.00034202109263,8.94550872341577e-05,0.00142766771042645,0.00370092545020429
