"family","n_samp_obs","Limu_MA","CCA_MA","Coral_MA","FC_LimuVCoral","FC_LimuVCCA","FC_CoralVCCA","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","f_stat","sum_of_sq","p_val","adj_p_val","sample_type_DA"
"Rhodobiaceae",9,0.000127272727272727,4.44444444444444e-05,3.23809523809524e-05,1.97470597983609,1.51784830486262,-0.456857674973471,-0.000591812445523126,0.93920545137033,0.00269333079629959,0.373112005463216,0.00328514324182272,0.236629197076812,1.42784288381826,0.000155875969584065,0.245205578551566,0.341108204829511,"NA"
"Rhodomicrobiaceae",24,3.33333333333333e-05,3e-04,0.000321904761904762,-3.27159641933722,-3.16992500144231,0.101671417894905,-0.00194454341203618,0.822257641543098,-0.00872567834331359,0.054310699875502,-0.0067811349312774,0.170371665456079,2.86580856743377,0.00108035229267813,0.0621469956943196,0.115100648830308,"NA"
"Stappiaceae",87,0.0130909090909091,0.00665555555555556,0.00431047619047619,1.60264612609161,0.975934286345904,-0.626711839745704,-0.0138430222219789,0.313759644473252,0.0402335673876367,0.000971715046274135,0.0540765896096156,8.88459172576628e-06,12.7668644521767,0.0405934259989449,1.31527736636384e-05,7.48512392130695e-05,"Limu"
"Xanthobacteraceae",36,3.03030303030303e-05,0.000203703703703704,0.00183047619047619,-5.91661312757872,-2.74893823583228,3.16767489174644,0.0168833856109985,0.0072692032338133,-0.00677450724739088,0.522520432188242,-0.0236578928583893,0.000796158392286084,8.42905958140183,0.00888683032410364,0.00044113779130314,0.00151732009536135,"Coral"
"Rhodobacteraceae",89,0.128469696969697,0.0633259259259259,0.0422647619047619,1.60390087341146,1.02055992944863,-0.583340943962828,-0.0527793115763373,0.063910960076502,0.129429229026694,1.23430419417536e-05,0.182208540603031,2.90686208437307e-09,23.9234373261834,0.455284025008894,4.65641142635192e-09,7.28728388224075e-08,"Limu"
"AEGEAN-169_marine_group",6,1.21212121212121e-05,3.7037037037037e-06,3.80952380952381e-06,1.66985139830767,1.71049338280502,0.0406419844973461,-0.000123692480471235,0.972715267928817,0.000813539160255929,0.403022753386541,0.000937231640727163,0.304756234273217,1.21246834741681,1.31164539161305e-05,0.302273896659532,0.404323631001852,"NA"
"Magnetospiraceae",44,0.00145757575757576,0.000416666666666667,0.00300571428571429,-1.04413700793575,1.80660527535802,2.85074228329377,0.0072589431674644,0.695472698758629,0.00798081265008357,0.713260730062754,0.000721869482619177,0.997255097217657,0.446432148717509,0.00126063048922876,0.641316474642308,0.684305455617988,"NA"
"Terasakiellaceae",16,0.00489090909090909,2e-04,3.04761904761905e-05,7.32627626158545,4.61203074391933,-2.71424551766612,-0.0010538863661966,0.989533389564148,0.0305637921524437,0.00198147498968337,0.0316176785186403,0.00141801335753999,7.86677767104132,0.0162472510741866,0.000710125835236825,0.00226805496356251,"Limu"
"AB1",3,6.06060606060606e-05,0.000101851851851852,0,Inf,-0.748938235832282,-Inf,-0.00168305758023884,0.598119667335689,0.000306162199733107,0.986901504048136,0.00198921977997195,0.579114893323361,0.672185796774334,7.19387646162753e-05,0.513135742892856,0.571571129983858,"NA"
"Fokiniaceae",9,6.36363636363636e-05,3.7037037037037e-06,0.000154285714285714,-1.2776811817982,4.10281080558378,5.38049198738197,0.00178069957184282,0.647696130714393,0.00393242050786712,0.2015231625538,0.0021517209360243,0.61730115652221,1.50061584232437,0.000212986895783625,0.228518525044093,0.320745732460992,"NA"
"Rickettsiaceae",23,0.00305757575757576,7.96296296296296e-05,0.000272380952380952,3.48869052063564,5.26293908720927,1.77424856657364,0.00331320413740974,0.850673042497119,0.0262208609625137,0.000860470627888965,0.0229076568251039,0.00429570133141,7.81038279756262,0.010348642659345,0.000745064588293712,0.00235560824379729,"Limu"
"Clade_I",20,3.93939393939394e-05,3.7037037037037e-05,4.95238095238095e-05,-0.330148601692331,0.089005006058745,0.419153607751076,0.00104252648030833,0.737713005282023,0.000108572298849263,0.997453050970268,-0.000933954181459069,0.830132879219262,0.316793660950697,2.20476313125893e-05,0.729290033090414,0.755853577342052,"NA"
"Clade_II",4,6.06060606060606e-06,9.25925925925926e-06,5.71428571428571e-06,0.0848888975865129,-0.611434712082347,-0.69632360966886,-0.000309532986432655,0.876106911000392,-0.000188731928743307,0.962818455188374,0.000120801057689348,0.984755467267539,0.121742666453957,1.72224524933915e-06,0.885521730208879,0.894091295339932,"NA"
"Sneathiellaceae",19,0.000175757575757576,0.000107407407407407,8.38095238095238e-05,1.06840077479794,0.710493382805015,-0.357907391992929,3.67182430854583e-05,0.999864401407847,0.00298444708780039,0.505434051791198,0.00294772884471493,0.51749981246622,0.759767896046449,0.000147812838955598,0.470751309886724,0.539770258914843,"NA"
"Sphingomonadaceae",93,0.0116454545454545,0.0069537037037037,0.00534095238095238,1.12459802535985,0.743913451466184,-0.380684573893665,-0.0111844010229902,0.384697705408195,0.0259297484644551,0.0225783816264029,0.0371141494874453,0.000667505161229376,7.45251780547623,0.0188253911993829,0.00101176074638533,0.00310471680018242,"Limu"
"Nisaeaceae",5,0.0176212121212121,7.40740740740741e-06,0,Inf,11.2160568591656,-Inf,-0.000453629374455548,0.999498688649267,0.0485343713204966,0.0156716061211228,0.0489880006949521,0.0151960516642574,4.97271786644066,0.039932767780655,0.00894498192122295,0.0231386722425023,"Limu"
"Thalassobaculales_unclassified",8,0,0.000190740740740741,3.80952380952381e-05,-Inf,-Inf,-2.32393044779851,-0.00456894096819326,0.0805860960500405,-0.00561245400955848,0.0546069256728828,-0.00104351304136522,0.901554615289541,3.58419308826241,0.00056009636620084,0.0317898430526782,0.0680512352921839,"NA"
"Geminicoccaceae",75,0.000854545454545455,0.0018962962962963,0.0034,-1.99230560821,-1.14995526479619,0.842350343413808,0.00596866642529956,0.71569497061063,-0.0138788291398837,0.254008562306011,-0.0198474955651832,0.0659891372031959,2.5966885940138,0.00538456761957181,0.0800958227862777,0.144913251630664,"NA"
"Acidiferrobacteraceae",2,0,0.000388888888888889,0,0,-Inf,-Inf,-0.00407325178435603,0.343586151904138,-0.00407325178435602,0.438234176457493,6.37510877421477e-18,1,1.22396519877167,0.000366080773791985,0.298909164861445,0.401538921037048,"NA"
"Alteromonadaceae",53,0.00911515151515152,0.00101481481481481,0.000377142857142857,4.5950836299057,3.16705015152213,-1.42803347838357,-0.0059914260259055,0.817414233015475,0.0457555804824932,0.000308738805788855,0.0517470065083987,4.68382119851452e-05,11.655147535342,0.0404861285031669,3.15348850758495e-05,0.000154225297324076,"Limu"
"Alteromonadales_unclassified",6,0,0,0.000601904761904762,-Inf,0,Inf,0.00798650790396481,0.057927180925895,-4.8186763221578e-19,1,-0.00798650790396481,0.111997999039295,3.31400754229003,0.0013922811425289,0.0408578298365461,0.0830422125898631,"NA"
"Colwelliaceae",25,0.000466666666666667,1.2962962962963e-05,0.000156190476190476,1.57908593438449,5.16992500144231,3.59083906705783,0.0031566376327466,0.410192046293421,0.015258950351106,1.43302649613375e-06,0.0121023127183594,0.000136341422698472,15.4254266133383,0.00333053400518164,1.73650277746035e-06,1.39365479319253e-05,"Limu"
"Pseudoalteromonadaceae",9,0.000496969696969697,5.55555555555556e-06,7.42857142857143e-05,2.7420011840635,6.48308288670194,3.74108170263844,0.00077707338730167,0.956683302858127,0.00802654708382545,0.0315100590030803,0.00724947369652377,0.0598362198654485,3.72002196620683,0.00099196832347758,0.0280366890760147,0.0605205771089146,"Limu"
"Shewanellaceae",41,0.00162424242424242,0.000422222222222222,0.000761904761904762,1.09208439899072,1.94369255909805,0.851608160107329,0.00218922936039356,0.918761762397243,0.018084424121986,0.0151555536988112,0.0158951947615925,0.038951187652837,4.47042501514838,0.00494199608544986,0.0140931881794112,0.0326753177789311,"Limu"
"Arenicellaceae",69,0.00485151515151515,0.00207777777777778,0.00104571428571429,2.21394665181873,1.22339401471248,-0.990552637106248,-0.0154021866574433,0.0722508940607881,0.0245835675951812,0.00687444774018109,0.0399857542526245,7.0518339101433e-06,12.7099306364992,0.0215986635080969,1.37495430670859e-05,7.68501246428191e-05,"Limu"
"AT-s2-59_fa",57,0.000448484848484848,0.000668518518518518,0.000643809523809524,-0.521574672345565,-0.575908278453206,-0.0543336061076406,-0.00158726848025356,0.916410088815774,-0.00373543744074625,0.690443749496987,-0.00214816896049269,0.885464481438286,0.338929039909051,0.000191170990468388,0.713438495228322,0.744354163354883,"NA"
"B2M28_fa",1,3.03030303030303e-06,0,0,Inf,Inf,0,-3.69295609028942e-19,1,0.000371138933356425,0.237982212795769,0.000371138933356425,0.241596939632277,1.63594470046083,2.31350856415376e-06,0.200506326547497,0.297433555494631,"NA"
"BD7-8_fa",55,0.00145151515151515,0.000442592592592593,0.000531428571428571,1.44961193221466,1.71350842056045,0.263896488345785,0.0014940953895045,0.935481531571544,0.0162203611393542,0.00376159139837118,0.0147262657498497,0.00990142645205905,6.21467529388411,0.00406637044333907,0.00296356227852598,0.00835671165025795,"Limu"
"Burkholderiaceae",93,0.00338181818181818,0.00255740740740741,0.100691428571429,-4.89599797033437,0.403117090376152,5.29911506071053,0.182454019356076,0.000350438779549656,0.0021604814816496,0.999038417411563,-0.180293537874426,0.00231062946826699,9.85850503961024,0.720192075418964,0.000134457348501456,0.000547145815043402,"Coral"
"Burkholderiales_unclassified",42,0.000633333333333333,0.000196296296296296,0.00035047619047619,0.853648574331539,1.6899320603227,0.83628348599116,0.000527554496314022,0.987021838751768,0.0143870230277166,0.00113579417192144,0.0138594685314026,0.00189369515772064,8.05340213439234,0.00335687395147411,0.000605992663960009,0.00201782663637748,"Limu"
"Comamonadaceae",30,0.000412121212121212,2.96296296296296e-05,0.000912380952380952,-1.14656760617817,3.79795622405535,4.94452383023353,0.0168471217725173,0.000422994038721813,0.00443119760281443,0.631861130262198,-0.0124159241697028,0.0329001480879842,8.26932163201161,0.00528893498926791,0.000504766634701484,0.00169883824367274,"Coral"
"EC94",7,0.000136363636363636,4.81481481481481e-05,0.000217142857142857,-0.671185519527398,1.5019067609936,2.173092280521,0.00139162086558095,0.864028342270791,0.000433307563464436,0.989134611238779,-0.00095831330211651,0.94854095587938,0.136979793677783,3.54405351267079e-05,0.87216929099829,0.883459508357492,"NA"
"Nitrosomonadaceae",20,0.000245454545454545,7.40740740740741e-05,4e-05,2.61738397841353,1.72841529080228,-0.888968687611256,-0.0016381983720654,0.702965483654404,0.00609910459953948,0.0277365068980313,0.00773730297160488,0.00388570410917088,5.72686945681526,0.000848815412265826,0.00455879816626272,0.0124078593568716,"Limu"
"Oxalobacteraceae",1,0,0,0.000198095238095238,-Inf,0,Inf,0.00238180459016773,0.480985450674687,1.0842021724855e-19,1,-0.00238180459016773,0.572018342781447,0.825426944971535,0.000123829849512479,0.441336377019748,0.527245366439623,"NA"
