"id_21",27300000,42300000,20800000,55100000,8.3e+07,94700000,1.07e+08,64300000,12200000,2412164.4,17400000,80600000,0,0,0,15900000,4479833.085,96200000,0,0,0,0,0,38400000,0,8287073.892,0,3908951.753,0,10800000,0,0,0,46900000,0,15900000,71300000,47300000,8415894.9,53500000,0,66500000,18600000,6651945.113,0,0,0,35900000,0,37800000,0,0,34400000,0,0,0,0,0,0,0,0,0,0,15400000,61700000,0,29400000,0,0,1414973.148,6443875.983,0,0,0,12100000,0,7882406.489,0,66200000,17500000,1e+08,22900000,0,0,25100000,20700000,11200000,18600000,0,0,13800000,16800000,0,0,70700000,4334159.141,0,0,0,0,500996.083,0,0
"id_22",30800000,48500000,2.6e+07,66800000,90300000,1e+08,1.13e+08,71300000,19900000,4718949.683,21700000,95300000,32100000,1662610.513,4395864.26,21800000,0,1.03e+08,76700000,75100000,58500000,60600000,6769315.79,50100000,80600000,13200000,15800000,6752914.404,35300000,15100000,40800000,66100000,8e+07,51900000,98700000,20600000,77400000,62100000,18500000,57700000,0,76500000,30500000,10300000,0,52600000,40900000,39400000,32800000,44400000,43400000,52300000,38900000,2115265.215,4.8e+07,54400000,28900000,8193120.102,40400000,5.4e+07,57700000,19100000,86100000,1.9e+07,7.2e+07,11200000,3.8e+07,62300000,68600000,4890385.797,10100000,34400000,15300000,90100000,15700000,32500000,10300000,1.1e+07,74300000,22500000,96700000,27200000,0,6.7e+07,29400000,24600000,14900000,22900000,87400000,62500000,19600000,24200000,33900000,37700000,83900000,8963750.397,55300000,29800000,31500000,16900000,78700000,38600000,45800000
"id_24",27900000,44100000,23200000,54700000,81700000,93100000,1.05e+08,63100000,20400000,0,18600000,83800000,23300000,0,0,1.8e+07,0,93100000,7.2e+07,6.9e+07,53700000,5.6e+07,5882212.777,39100000,0,9254594.886,0,4883405.154,29700000,12400000,39700000,56600000,0,45600000,90700000,17600000,73800000,49600000,10400000,50700000,0,0,28200000,8545385.3,0,0,0,36400000,29800000,39100000,0,0,36200000,0,0,51900000,0,0,0,0,0,0,0,16700000,62200000,0,0,0,0,3898256.22,8015635.991,3.5e+07,0,0,14300000,28800000,9253679.819,0,72700000,20500000,93200000,24700000,0,0,2.7e+07,22300000,12500000,20400000,0,0,16600000,17700000,0,0,73100000,5569385.777,0,0,0,0,0,0,0
"id_25",36500000,43900000,36100000,56400000,61700000,76900000,32900000,50600000,50700000,39300000,4.4e+07,7e+07,34500000,44600000,61500000,51300000,1.07e+08,3.6e+07,37600000,39900000,71200000,76800000,49800000,32800000,38900000,41900000,81800000,7.6e+07,68700000,64700000,77700000,75500000,66400000,55200000,45500000,62700000,93500000,57100000,61500000,56700000,1.02e+08,34700000,45700000,63500000,47100000,37300000,67900000,47700000,57100000,55300000,1.21e+08,67300000,74700000,60900000,37600000,41200000,64300000,54700000,4.4e+07,0,0,5.9e+07,0,42900000,73400000,47800000,56900000,73100000,49600000,38800000,66400000,59200000,43400000,0,4.3e+07,41500000,33600000,37900000,65900000,59900000,53500000,52400000,53200000,1479019.138,59100000,49300000,60600000,59400000,0,37300000,66600000,46900000,0,0,54100000,45900000,0,0,71900000,0,3.3e+07,36100000,1599421.36
"id_26",42600000,1.06e+08,50800000,1.19e+08,2.03e+08,1.97e+08,1.65e+08,1.56e+08,2.28e+08,2.73e+08,58300000,1.6e+08,52800000,2.74e+08,2.81e+08,44400000,2.74e+08,1.57e+08,1.34e+08,1.24e+08,1.26e+08,98400000,24200000,85600000,1.73e+08,2.23e+08,4.6e+07,24500000,69700000,2.7e+07,52500000,92900000,1.33e+08,84100000,1.56e+08,35200000,1.46e+08,1.09e+08,33100000,83600000,3.54e+08,2.22e+08,62800000,1.7e+07,3.56e+08,91400000,6.8e+07,76200000,6.6e+07,89100000,78900000,73200000,67200000,3.05e+08,87800000,1.06e+08,75700000,23600000,1.11e+08,1.02e+08,1.39e+08,51200000,1.16e+08,41400000,1.17e+08,27200000,76500000,95300000,1.42e+08,12300000,29100000,74800000,38100000,1.37e+08,3e+07,59100000,39400000,25300000,11300000,54500000,27200000,9652714.288,7151775.821,1.67e+08,52200000,1.8e+07,25600000,53800000,91300000,41100000,43500000,83600000,91100000,88400000,1.58e+08,31800000,1.32e+08,82100000,71900000,2.29e+08,1.7e+08,95600000,1.09e+08
"id_28",20800000,35500000,14800000,53900000,67800000,74400000,93600000,54200000,0,0,13700000,62100000,17400000,0,0,0,3899317.242,82700000,66100000,57200000,49500000,37900000,2697101.096,33400000,53400000,4931527.642,9290165.775,2805342.512,22500000,7684411.38,30100000,47500000,58500000,39600000,76400000,11800000,61700000,4.8e+07,0,0,0,51200000,14300000,0,0,41100000,23100000,29300000,0,2.9e+07,22800000,36600000,28400000,0,46200000,43700000,22300000,1924296.991,26400000,33500000,34100000,12800000,59500000,11600000,51600000,4060270.648,23700000,5e+07,46600000,0,0,26300000,7280304.485,58300000,9486158.253,21900000,0,5322935.615,62300000,0,98700000,0,0,0,20300000,16200000,0,12600000,65700000,52900000,0,12600000,15500000,19800000,51600000,2927891.88,30700000,17700000,0,3276865.36,46500000,2e+07,29900000
"id_29",29300000,48500000,24900000,68100000,88600000,1.1e+08,1.07e+08,68100000,0,13600000,0,87300000,0,2883947.532,5804264.221,20300000,1.1e+07,1.01e+08,0,73100000,0,59500000,0,50200000,76100000,0,16100000,7818705.663,0,1.5e+07,39600000,66600000,0,5.2e+07,9.5e+07,0,0,0,0,0,0,74700000,30100000,0,0,51200000,31400000,0,0,43800000,43400000,45600000,0,0,0,53600000,30900000,5980838.225,40700000,54600000,57900000,19100000,85500000,19100000,0,9240385.725,40900000,65300000,0,0,0,0,14400000,87700000,15300000,0,11700000,0,0,21800000,0,26300000,0,65300000,0,0,0,0,82900000,61300000,19600000,0,0,0,78800000,7957412.775,55400000,0,32300000,0,0,41100000,47800000
"id_33",19100000,30900000,1e+07,42400000,57800000,62600000,78200000,4.5e+07,0,0,11500000,54800000,15800000,0,0,10800000,2336965.489,80400000,56400000,51300000,39100000,40800000,2417462.472,32800000,45100000,5170092.517,8527216.68,1217318.374,19100000,6180721.741,26700000,45300000,5.3e+07,36600000,65600000,10700000,5.3e+07,43500000,5027812.803,37200000,0,44300000,12600000,3954601.016,851807.7166,37900000,20100000,25400000,17700000,26300000,19700000,32500000,23300000,0,36800000,32400000,18900000,1705640.5,15400000,3.3e+07,31300000,10900000,46400000,9753521.95,47400000,3145704.571,20100000,43800000,38300000,830849.8677,3702595.643,22800000,5832525.091,55800000,8049709.768,17700000,3897944.631,4348428.815,57900000,11100000,85700000,16500000,0,30300000,1.7e+07,14400000,6791024.633,11500000,60900000,46600000,9277298.324,10700000,1.5e+07,18100000,50600000,2503491.447,25600000,15700000,13400000,2747505.157,41300000,16300000,19100000
"id_37",46300000,0,0,0,2261741.414,0,0,1664040.235,5850105.512,1849333.434,1406507.638,4065365.493,0,0,923499.3558,0,1292494.807,0,6622422.581,1790755.786,0,4781145.199,0,4487342.54,15600000,2397185.691,0,0,0,0,0,10500000,1.39e+08,14600000,3953439.588,0,5672190.137,0,1631612.616,0,0,1399576.369,0,0,0,0,2873696.837,1689432.487,0,1541316.662,0,0,0,0,0,1976487.707,1972127.6,1782950.12,0,24200000,0,0,1.7e+07,6.23e+08,0,6.65e+08,38300000,0,38700000,0,2.26e+08,1.06e+09,1.95e+08,2596190.217,4.94e+08,0,1.64e+09,2e+08,0,4.89e+08,13600000,0,0,9826347.334,3.68e+08,0,28100000,7.05e+08,3665319.45,5653561.337,32500000,61600000,9.64e+08,2.02e+09,1.38e+09,82300000,7.83e+08,3.2e+09,2.04e+09,2.28e+09,4.87e+08,3.9e+08,7.15e+08
"id_45",25800000,3.9e+07,21400000,50300000,81300000,68700000,71600000,59300000,61200000,73200000,26700000,0,25700000,46700000,56100000,24300000,6.2e+07,75700000,6.1e+07,55400000,53700000,45200000,0,38300000,70200000,68800000,18700000,0,27200000,0,3e+07,46100000,58200000,40700000,71300000,0,6.4e+07,45900000,0,49600000,0,73100000,24900000,0,21300000,45100000,32900000,33700000,28900000,42100000,0,31100000,32700000,39600000,40800000,36200000,32500000,0,42200000,37200000,46600000,24600000,47200000,15400000,0,9576751.494,33400000,45800000,53700000,7509783.167,0,0,0,54400000,0,28900000,11300000,0,9569263.97,26300000,0,9048281.71,0,58200000,28100000,0,18100000,27900000,40200000,29200000,21900000,0,25600000,28200000,64600000,13600000,44300000,0,0,0,6.5e+07,3.8e+07,41900000
"id_47",19100000,15100000,23700000,1.4e+07,12400000,12200000,11900000,17900000,25100000,24900000,28700000,16700000,2.5e+07,17800000,3.5e+07,23100000,16100000,1.7e+07,24400000,22400000,23100000,68700000,22900000,20900000,16100000,19400000,2.6e+07,18800000,30600000,19600000,23200000,19500000,31100000,23500000,15500000,18100000,2.6e+07,15400000,13200000,17300000,30900000,19700000,16200000,18800000,29400000,15600000,2.1e+07,20400000,14700000,19500000,18100000,20300000,20100000,33200000,22700000,20800000,19900000,2.4e+07,96400000,1.16e+08,1.31e+08,21900000,1.17e+08,17700000,89300000,27500000,23300000,70900000,8.4e+07,19400000,21200000,20200000,19900000,1.14e+08,2.5e+07,20600000,26700000,20900000,20500000,2.1e+07,2.2e+07,16700000,22700000,82100000,18200000,20500000,23500000,20800000,98800000,90200000,29300000,24100000,1.46e+08,1.26e+08,79600000,28900000,8.4e+07,1.22e+08,84900000,0,91900000,0,0
