id	clade	color	linetype	line
e48f0324e4936c377177f86a05669361	clade	#7570b3	dashed	4
d546d4419b3fc0d99fab72809a2faf07	clade	#66a61e	dashed	4
1d84ffd215f515a634d46d8ee06aad6e	clade	#d95f02	dashed	4
514f4003da11e101ccefcc91b56884cc	clade	#d95f02	dashed	4
a1020ffa3a1dc1828e36ac846775ab22	clade	#d95f02	dashed	4
99fc473e6d8b848b71f3e343039929e6	clade	#7570b3	dashed	4
07a9e09102b540f7f639319b8e01131e	clade	#d95f02	dashed	4
1129aaa7d72fc1975d4aa1adaf4cbd0a	clade	#7570b3	dashed	4
af438c1f550ef8530b24ab1a28e68423	clade	#d95f02	dashed	4
39184b1bb6bf4e567d5fd5dc232a251e	clade	#a6761d	dashed	4
a890b84c827d94020a0caf79f60c09ab	clade	#1b9e77	dashed	4
15565247ef452a4daa0ec2a58a2b6736	clade	#7570b3	dashed	4
55bb3ed210ef055b4878b0325dbaba2b	clade	#66a61e	dashed	4
45f971cf67cc729414cda54d7fcf35a7	clade	#666666	dashed	4
5f0f5bdb1e0778179573db662d94e840	clade	#1b9e77	dashed	4
c8d51d5cb5309bf6998bdaf134392bd2	clade	#66a61e	dashed	4
0e097b525a0451774184a52bce595fd3	clade	#1b9e77	dashed	4
391d04860a0f415e75890e61fdd48160	clade	#666666	dashed	4
282953a518556a9c9bac78efb2df5d47	clade	#66a61e	dashed	4
9b75f0a5c5172493f6709042fab87e9c	clade	#66a61e	dashed	4
9dc7bd2b3a9fbe6a161150f4f26bb412	clade	#66a61e	dashed	4
f4c34fdda64cade7b72ed2fe0a8284e8	clade	#d95f02	dashed	4
6a82cdd6c9cd3f41655373810b0bbc6c	clade	#e7298a	dashed	4
f95db307d3c8bebfec37c18653bc38ba	clade	#d95f02	dashed	4
a8ea5bcc21ab1369e41e6a96ee970351	clade	#66a61e	dashed	4
9ca40ec193ee02a4f7fed7321fe92413	clade	#66a61e	dashed	4
f9b1bb69cfc7c81b6af3a4c3e0882b7a	clade	#a6761d	dashed	4
4ca193018673e76d45c410f65d50aec1	clade	#66a61e	dashed	4
966a9ec6046a6118fac046ebff29176e	clade	#e7298a	dashed	4
ba770c57925b6fd05ac1ab2622c0574a	clade	#66a61e	dashed	4
98b54c305d7c2ced804e6917e6d9c1eb	clade	#66a61e	dashed	4
ebea83d37bcca6932a23b25c5d747286	clade	#66a61e	dashed	4
b007c6a15c28287332b9f6df62018069	clade	#666666	normal	6
d27816d77e1dfc3183cea2adc9943e8b	clade	#1b9e77	dashed	4
506e1c452e92ba76ce60cfa4fdf754f6	clade	#1b9e77	dashed	4
502bb23db520af21ebb12487b4ecfa78	clade	#7570b3	dashed	4
5375d64d7dd92f32eae3e245a7065bcb	clade	#66a61e	dashed	4
8552b583d7fea22575c028c765494792	clade	#e6ab02	dashed	4
796453353851d1a418d3bf0248bc080c	clade	#66a61e	dashed	4
f8d8168cb2f45a083145fa1a264a0109	clade	#66a61e	dashed	4
8937462613256da72a0840bf850f5f94	clade	#e6ab02	dashed	4
f0d68452b35fad03c97a8654c22abef4	clade	#666666	dashed	4
b5e74a975e47587579c330a20f672cdf	clade	#66a61e	dashed	4
