class,n_samp_obs,Limu_MA,CCA_MA,Coral_MA,FC_LimuVCoral,FC_LimuVCCA,FC_CoralVCCA,tuk_Coral_CCA_diff,tuk_Coral_CCA_p,tuk_Limu_CCA_diff,tuk_Limu_CCA_p,tuk_Limu_Coral_diff,tuk_Limu_Coral_p,f_stat,sum_of_sq,p_val,adj_p_val,sample_type_DA
Cyanobacteriia,90,0.0947454545454545,0.161516666666667,0.0371466666666667,1.35082397380152,-0.769554406042303,-2.12037837984382,-0.156263150388289,0.0226487041093507,-0.0276295283383648,0.908295612652229,0.128633622049924,0.134673750361114,3.97492857139007,0.474326787002694,0.0221687707935366,0.0443375415870733,CCA
Dadabacteriia,87,0.00173939393939394,0.0099962962962963,0.0121028571428571,-2.79869104973014,-2.52280895198615,0.275882097743987,0.00484887295056216,0.89126563322374,-0.0543515152757633,6.05487130885818e-05,-0.0592003882263254,1.39997806882786e-05,13.6578480267068,0.0544932241209787,6.60522245451071e-06,3.22921986664968e-05,CoralCCA
Desulfovibrionia,62,0.00053030303030303,0.0028,0.00127619047619048,-1.26695477520514,-2.40053792958373,-1.13358315437859,-0.0100529932118112,0.344009235835364,-0.0279360830380064,0.00270347910995039,-0.0178830898261952,0.0807645242679088,5.84610010912556,0.010663280991673,0.00410174777558693,0.00949878432241184,CCA
Clostridia,88,0.00376363636363636,0.00842037037037037,0.00170095238095238,1.14578449140693,-1.16175644771904,-2.30754093912597,-0.0439927755152472,4.00544006617931e-05,-0.0436848560680933,0.00036469952623952,0.000307919447153915,0.999564251611153,13.1075941562114,0.0424737463282332,1.0094454683313e-05,4.03778187332521e-05,CCA
BD2-11_terrestrial_group,79,0.000851515151515152,0.0163962962962963,0.0175352380952381,-4.36408100869529,-4.26719395507192,0.0968870536233665,0.0007972731198327,0.998604234436492,-0.0842968431685607,3.12299831148888e-05,-0.0850941162883934,2.90170508339127e-05,13.52880065325,0.120476302226841,7.29339949219098e-06,3.37799555427793e-05,CoralCCA
PAUC43f_marine_benthic_group,59,6.06060606060606e-05,0.00344814814814815,0.00297904761904762,-5.61924530411232,-5.83021587986642,-0.210970575754096,-0.00381588571917311,0.864942730486184,-0.0433737945256826,5.11519034684937e-06,-0.0395579088065095,3.419873939281e-05,14.8885260836965,0.0291746566375149,2.59477678714735e-06,1.90283631057472e-05,CoralCCA
Nitrospiria,64,0.000115151515151515,0.00542037037037037,0.00662476190476191,-5.84626330555533,-5.55678613416015,0.289477171395183,0.00101969719287644,0.99450610331749,-0.054498118117068,2.90756360888933e-05,-0.0555178153099444,2.27956809977226e-05,13.7629122777974,0.0508268934228259,6.09416370127985e-06,3.15462591595663e-05,CoralCCA
OM190,74,0.0036,0.000646296296296296,0.000577142857142857,2.64099653563548,2.47772927739613,-0.163267258239355,-0.00304482136872431,0.74895376510644,0.0366765930653965,4.94248086901905e-10,0.0397214144341208,4.38953984271961e-10,39.4407826891829,0.0246446975579137,5.00854825435321e-13,2.20376123191541e-11,Limu
Spirochaetia,63,7.27272727272727e-05,0.00411296296296296,0.00412190476190476,-5.82467088479799,-5.82153779402081,0.00313309077718019,-0.000362214250942079,0.998948937417054,-0.0494144208766272,3.30757821687122e-06,-0.0490522066256851,4.3456543494802e-06,16.6788389139487,0.0407179638076683,6.89341754970068e-07,5.62115944180558e-06,CoralCCA
Verrucomicrobiae,90,0.031169696969697,0.0159037037037037,0.00623619047619048,2.32140723018597,0.970781345298699,-1.35062588488727,-0.0424029663941315,0.00460364252179757,0.0496738517387651,0.00348319695808075,0.0920768181328966,6.17530206969974e-08,19.1129423381887,0.11556898931296,1.20783118981414e-07,1.5184163529092e-06,CCALimu
